icao,iata,name,city,country,latitude,longitude,timezone
SKEB,EBG,El Bagre Airport,,Colombia,7.59647,-74.808899,
DAOY,EBH,El Bayadh Airport,,Algeria,33.720837,1.09153,
SAWC,FTE,El Calafate International Airport,,Argentina,-50.2803,-72.053101,
SECO,OCC,El Coca Francisco de Orellana Airport,,Ecuador,-0.46288,-76.986801,
KELD,ELD,El Dorado South Arkansas Regional Airport,,United States,33.22097,-92.813202,
HSFS,ELF,El Fasher Airport,,Sudan,13.61489,25.32465,
DAUE,ELG,El Golea Airport,,Algeria,30.57432,2.861646,
GCHI,VDE,El Hierro Airport,,Spain,27.81484,-17.886999,
MMJA,JAL,El Lencero Jalapa Airport,,Mexico,19.472221,-96.781944,
KEMT,EMT,El Monte San Gabriel Valley Airport,,United States,34.085583,-118.035095,
RPEN,ENI,El Nido Airport,,Philippines,11.2025,119.416115,
HSOB,EBD,El Obeid Airport,,Sudan,13.15321,30.23267,
DAUO,ELU,El Oued Guemar Airport,,Algeria,33.511391,6.776794,
SADP,EPA,El Palomar Airport,,Argentina,-34.610001,-58.612499,
KBIF,BIF,El Paso Biggs Field Airport,,United States,31.849592,-106.379868,
KELP,ELP,El Paso International Airport,,United States,31.806374,-106.38858,
SVVG,VIG,El Vigia Juan Pablo Perez Alfonso Airport,,Venezuela,8.623987,-71.673431,
LTCA,EZS,Elazig Airport,,Turkey,38.606918,39.291409,
LIRJ,EBA,Elba Marina di Campo Airport,,Italy,42.760269,10.23944,
EPEL,QPQ,Elblag Airport,,Poland,54.140789,19.422499,
YELD,ELC,Elcho Island Airport,,Australia,-12.019817,135.569794,
HKEL,EDL,Eldoret International Airport,,Kenya,0.404458,35.238918,
PFEL,ELI,Elim Airport,,United States,64.6147,-162.272003,
URWI,ESL,Elista Airport,,Russia,46.370594,44.332966,
YEWA,WHB,Eliwana Camp Airport,,Australia,-22.428272,116.886856,
KECG,ECG,Elizabeth City Regional Airport,,United States,36.260578,-76.1745,
KEKX,EKX,Elizabethtown Regional Airport,,United States,37.688889,-85.92778,
KELK,ELK,Elk City Regional Business Airport,,United States,35.430801,-99.394302,
KEKM,EKI,Elkhart Municipal Airport,,United States,41.719398,-86.003197,
KEKO,EKO,Elko Regional Airport,,United States,40.824909,-115.791,
KELN,ELN,Ellensburg Bowers Airport,,United States,47.033001,-120.530998,
KELM,ELM,Elmira Corning Regional Airport,,United States,42.16304,-76.895859,
KELY,ELY,Ely Airport,,United States,39.301945,-114.841942,
EDWE,EME,Emden Airport,,Germany,53.391178,7.227408,
YEML,EMD,Emerald Airport,,Australia,-23.570068,148.177841,
LSME,EML,Emmen Airport,,Switzerland,47.092381,8.305237,
PAEM,EMK,Emmonak Airport,,United States,62.78513,-164.490707,
KEMP,EMP,Emporia Municipal Airport,,United States,38.332066,-96.1912,
SGEN,ENO,Encarnacion R.Amin Ayub Gonzalez Airport,,Paraguay,-27.225821,-55.837086,
WATE,ENE,Ende H. Hasan Aroeboesman Airport,,Indonesia,-8.84929,121.660599,
YEEB,ENB,Eneabba Airport,,Australia,-29.832872,115.246262,
DTNH,NBE,Enfidha Hammamet International Airport,,Tunisia,36.091946,10.413889,
KEND,END,Enid Vance Air Force Base,,United States,36.339912,-97.919434,
KWDG,WDG,Enid Woodring Regional Airport,,United States,36.3792,-97.7911,
KEKS,QTE,Ennis Big Sky Airport,,United States,45.274384,-111.648827,
EGAB,ENK,Enniskillen St. Angelo Airport,,United Kingdom,54.39888,-7.65166,
EFET,ENF,Enontekio Airport,,Finland,68.362579,23.42432,
EHTW,ENS,Enschede Twente Airport,,Netherlands,52.27441,6.885969,
MMES,ESE,Ensenada Airport,,Mexico,31.79528,-116.601997,
ZHES,ENH,Enshi Xujiaping Airport,,China,30.320278,109.485001,
HUEN,EBB,Entebbe International Airport,,Uganda,0.042386,32.443501,
KEDN,ETS,Enterprise Municipal Airport,,United States,31.2997,-85.899902,
DNEN,ENU,Enugu Akanu Ibiam International Airport,,Nigeria,6.474272,7.561961,
LFSG,EPL,Epinal Mirecourt Airport,,France,48.325001,6.066742,
ORER,EBL,Erbil International Airport,,Iraq,36.240482,43.946671,
LCEN,ECN,Ercan International Airport,,Turkey,35.155071,33.502117,
SSER,ERM,Erechim Airport,,Brazil,-27.663158,-52.272152,
ZBER,ERL,Erenhot Saiwusu International Airport,,China,43.422501,112.096664,
EDDE,ERF,Erfurt Weimar Airport,,Germany,50.979809,10.9581,
KERI,ERI,Erie International Airport,,United States,42.082001,-80.176201,
KEIK,QQE,Erie Municipal Airport,,United States,40.010277,-105.048058,
YERN,ERB,Ernabella Airport,,Australia,-26.264994,132.176712,
GMFK,ERH,Errachidia Moulay Ali Cherif Airport,,Morocco,31.9475,-4.39833,
LTCD,ERC,Erzincan Airport,,Turkey,39.710201,39.527,
LTCE,ERZ,Erzurum Airport,,Turkey,39.956501,41.170158,
EKEB,EBJ,Esbjerg Airport,,Denmark,55.52594,8.553403,
KESC,ESC,Escanaba Delta County Airport,,United States,45.72266,-87.093697,
ESSU,EKT,Eskilstuna Airport,,Sweden,59.351101,16.708401,
LTBY,AOE,Eskisehir Airport,,Turkey,39.811401,30.527,
SEES,ESM,Esmeraldas Carlos Concha Torres International Airport,,Ecuador,0.978519,-79.626602,
GVAC,SID,Espargos Amilcar Cabral International Airport,,Cape Verde,16.741381,-22.9494,
YESP,EPR,Esperance Airport,,Australia,-33.68,121.82,
SAVE,EQS,Esquel Airport,,Argentina,-42.907902,-71.139397,
GMMI,ESU,Essaouira Airport,,Morocco,31.397499,-9.681667,
EDLE,ESS,Essen Mulheim Airport,,Germany,51.402328,6.937333,
KEST,EST,Estherville Municipal Airport,,United States,43.407459,-94.746422,
NFTE,EUA,Eua Kaufana Airport,,Tonga,-21.378,-174.957993,
YECL,EUC,Eucla Airport,,Australia,-31.707193,128.877411,
KEUF,EUF,Eufaula Weedon Field Airport,,United States,31.951263,-85.128944,
KEUG,EUG,Eugene Airport,,United States,44.12458,-123.210999,
CYEU,YEU,Eureka Airport,,Canada,79.99472,-85.814102,
KEKA,EKA,Eureka Murray Field Airport,,United States,40.805,-124.114998,
YEVD,EVH,Evans Head Airport,,Australia,-29.101456,153.419312,
