icao,iata,name,city,country,latitude,longitude,timezone
LECO,LCG,A Coruna Airport,,Spain,43.302059,-8.37725,
EDKA,AAH,Aachen Merzbruck Airport,,Germany,50.821899,6.184759,
EKYT,AAL,Aalborg Airport,,Denmark,57.095112,9.855172,
EKAH,AAR,Aarhus Airport,,Denmark,56.303295,10.619129,
EKAC,QEA,Aarhus Sea Airport,,Denmark,56.151993,10.247725,
BGAA,JEG,Aasiaat Airport,,Greenland,68.72184,-52.784698,
OIAA,ABD,Abadan Airport,,Iran,30.371111,48.228329,
NGAB,ABF,Abaiang Airport,,Kiribati,1.79904,173.040268,
UNAA,ABA,Abakan International Airport,,Russia,53.740002,91.385002,
EIAB,QIH,Abbeyshrule Airport,,Ireland,53.591366,-7.643234,
CYXX,YXX,Abbotsford International Airport,,Canada,49.025269,-122.360001,
NGTB,AEA,Abemama Airport,,Kiribati,0.49094,173.829086,
EGPD,ABZ,Aberdeen International Airport,,United Kingdom,57.201939,-2.19777,
KAPG,APG,Aberdeen Phillips Army Airfield,,United States,39.465496,-76.168198,
KABR,ABR,Aberdeen Regional Airport,,United States,45.439999,-98.419998,
OEAB,AHB,Abha Regional Airport,,Saudi Arabia,18.24036,42.65662,
DIAP,ABJ,Abidjan Port Bouet Airport,,Ivory Coast,5.261386,-3.92629,
KABI,ABI,Abilene Regional Airport,,United States,32.411301,-99.681801,
YABI,ABG,Abingdon Downs Airport,,Australia,-17.607372,143.183395,
KVJI,VJI,Abingdon Virginia Highlands Airport,,United States,36.686111,-82.033333,
OMAD,AZI,Abu Dhabi Al Bateen Executive Airport,,United Arab Emirates,24.428329,54.45808,
OMAM,DHF,Abu Dhabi Al Dhafra Air Base,,United Arab Emirates,24.248199,54.547699,
OMAA,AUH,Abu Dhabi Zayed International Airport,,United Arab Emirates,24.442856,54.651474,
OIBA,AEU,Abu Musa Island Airport,,Iran,25.8757,55.033001,
HEBL,ABS,Abu Simbel Airport,,Egypt,22.37595,31.611719,
DNAA,ABV,Abuja Nnamdi Azikiwe International Airport,,Nigeria,9.006792,7.263172,
SKAD,ACD,Acandi Alcides Fernandez Airport,,Colombia,8.498886,-77.27417,
MMAA,ACA,Acapulco International Airport,,Mexico,16.757059,-99.753899,
DGAA,ACC,Accra Kotoka International Airport,,Ghana,5.605186,-0.16678,
KADH,ADT,Ada Municipal Airport,,United States,34.804298,-96.671303,
HCAD,AAD,Adado Airport,,Somalia,6.09578,46.637146,
PADK,ADK,Adak Airport,,United States,51.87796,-176.645996,
VIAX,AIP,Adampur Airport,,India,31.433056,75.760559,
LTAG,UAB,Adana Incirlik Airport,,Turkey,37.001099,35.424721,
LTAF,ADA,Adana Sakirpasa Airport,,Turkey,36.982159,35.28038,
HAAB,ADD,Addis Ababa Bole Airport,,Ethiopia,8.977889,38.799309,
YPAD,ADL,Adelaide Airport,,Australia,-34.947392,138.533417,
YPPF,QBP,Adelaide Parafield Airport,,Australia,-34.793682,138.635376,
OYAA,ADE,Aden International Airport,,Yemen,12.82954,45.02879,
LTCP,ADF,Adiyaman Airport,,Turkey,37.731361,38.468929,
DAUA,AZR,Adrar Airport,,Algeria,27.83758,-0.18641,
KADG,ADG,Adrian Lenawee County Airport,,United States,41.86607,-84.078293,
KAFO,AFO,Afton Municipal Airport,,United States,42.711201,-110.942001,
DRZA,AJY,Agades Mano Dayak International Airport,,Niger,16.96599,8.000114,
GMAD,AGA,Agadir Al Massira Airport,,Morocco,30.324989,-9.41306,
VEAT,IXA,Agartala Airport,,India,23.886971,91.240448,
VOAT,AGX,Agatti Airport,,India,10.82365,72.176041,
LFBA,AGF,Agen La Garenne Airport,,France,44.174709,0.590619,
OIAG,AKW,Aghajari Airport,,Iran,30.7444,49.6772,
VIAG,AGR,Agra Airport,,India,27.15583,77.960892,
LTCO,AJI,Agri Ahmed-i Hani Airport,,Turkey,39.655582,43.025818,
SWHP,GGB,Agua Boa Airport,,Brazil,-14.019444,-52.152222,
SKAG,HAY,Aguachica Hacaritama Airport,,Colombia,8.246203,-73.579628,
TJBQ,BQN,Aguadilla Rafael Hernandez Airport,,Puerto Rico,18.49486,-67.129402,
MMAS,AGU,Aguascalientes International Airport,,Mexico,21.705549,-102.317001,
NTHE,AHE,Ahe Airport,,French Polynesia,-14.42759,-146.255981,
VAAH,AMD,Ahmedabad International Airport,,India,23.07724,72.634651,
OIAW,AWZ,Ahwaz International Airport,,Iran,31.337429,48.761951,
KAIK,AIK,Aiken Municipal Airport,,United States,33.649399,-81.684998,
KANW,ANW,Ainsworth Regional Airport,,United States,42.577194,-99.99649,
PTRO,ROR,Airai Roman Tmetuchl International Airport,,Palau,7.367303,134.544205,
NCAI,AIT,Aitutaki Airport,,Cook Islands,-18.8309,-159.764008,
LFMA,QXB,Aix-en-Provence Airport,,France,43.505264,5.367415,
VELP,AJL,Aizawl Lengpui Airport,,India,23.838442,92.620361,
LFKJ,AJA,Ajaccio Napoleon Bonaparte Airport,,France,41.923882,8.8025,
PAKH,AKK,Akhiok Airport,,United States,56.938873,-154.181931,
PFAK,AKI,Akiak Airport,,United States,60.902901,-161.231003,
RJSK,AXT,Akita Airport,,Japan,39.615551,140.218597,
CYKD,LAK,Aklavik Airport,,Canada,68.223297,-135.005997,
KCAK,CAK,Akron Canton Airport,,United States,40.91608,-81.442101,
KAKR,AKC,Akron Fulton International Airport,,United States,41.037498,-81.466904,
ZWAK,AKU,Aksu Airport,,China,41.262501,80.291664,
UATE,SCO,Aktau Airport,,Kazakhstan,43.86005,51.091969,
LGPZ,PVK,Aktion National Airport,,Greece,38.925461,20.76531,
UATT,AKX,Aktobe Airport,,Kazakhstan,50.245831,57.206661,
CYKO,AKV,Akulivik Airport,,Canada,60.818611,-78.148613,
DNAK,AKR,Akure Airport,,Nigeria,7.246739,5.301008,
BIAR,AEY,Akureyri Airport,,Iceland,65.658607,-18.072201,
PAUT,KQA,Akutan Airport,,United States,54.145771,-165.606537,
OMAL,AAN,Al Ain International Airport,,United Arab Emirates,24.26166,55.609161,
ORAA,IQA,Al Asad Air Base,,Iraq,33.785599,42.4412,
ODAG,AAY,Al Ghaydah Airport,,Yemen,16.193453,52.175129,
GMTA,AHU,Al Hoceima Cherif Al Idrissi Airport,,Morocco,35.177101,-3.83952,
ORNI,NJF,Al Najaf International Airport,,Iraq,31.991667,44.404167,
OTBH,XJD,Al Udeid Air Base,,Qatar,25.114941,51.316105,
OEAO,ULH,Al Ula  Airport,,Saudi Arabia,26.480862,38.116653,
OEWJ,EJH,Al Wajh Airport,,Saudi Arabia,26.198334,36.476112,
OEBA,ABT,Al-Baha Domestic Airport,,Saudi Arabia,20.296129,41.63427,
OSKL,KAC,Al-Qamishli Airport,,Syria,37.031025,41.205559,
OEGS,ELQ,Al-Qassim International Airport,,Saudi Arabia,26.30282,43.773911,
PAUK,AUK,Alakanuk Airport,,United States,62.683056,-164.722198,
KALM,ALM,Alamogordo White Sands Regional Airport,,United States,32.845833,-105.985275,
KALS,ALS,Alamosa San Luis Valley Regional Airport,,United States,37.43491,-105.865997,
LEAB,ABC,Albacete Airport,,Spain,38.948502,-1.86352,
YABA,ALH,Albany Airport,,Australia,-34.939999,117.800003,
KALB,ALB,Albany International Airport,,United States,42.749111,-73.801903,
KABY,ABY,Albany Southwest Georgia Regional Airport,,United States,31.535526,-84.193428,
LIMG,ALL,Albenga Clemente Panero International Airport,,Italy,44.050598,8.127428,
KAEL,AEL,Albert Lea Municipal Airport,,United States,43.680988,-93.368599,
LFAQ,BYF,Albert Picardie Airport,,France,49.9715,2.69766,
LFKA,QFA,Albertville Airport,,France,45.626598,6.329078,
LFCI,LBI,Albi Le Sequestre Airport,,France,43.913269,2.11675,
KABQ,ABQ,Albuquerque International Airport,,United States,35.040218,-106.609001,
YMAY,ABX,Albury Airport,,Australia,-36.067699,146.957993,
UEEA,ADH,Aldan Airport,,Russia,58.602772,125.408798,
EGJA,ACI,Alderney Airport,,Guernsey,49.706745,-2.214291,
YADG,QBX,Aldinga Airport,,Australia,-35.288708,138.494247,
SSLT,ALQ,Alegrete Novo Airport,,Brazil,-29.8127,-55.893398,
UHSA,UHS,Aleksandrovsk-Sakhalinskiy Airport,,Russia,50.877796,142.175186,
OSAP,ALP,Aleppo International Airport,,Syria,36.180672,37.22435,
CYLT,YLT,Alert Airport,,Canada,82.517776,-62.280556,
ENAL,AES,Alesund Vigra Airport,,Norway,62.560371,6.110164,
KALX,ALX,Alexander City Thomas C Russell Field,,United States,32.915195,-85.962997,
NZLX,ALR,Alexandra Airport,,New Zealand,-45.210995,169.371368,
HEBA,HBE,Alexandria Borg El Arab Airport,,Egypt,30.91766,29.6964,
KESF,ESF,Alexandria Esler Regional Airport,,United States,31.394314,-92.294136,
KAEX,AEX,Alexandria International Airport,,United States,31.32737,-92.5485,
KAXN,AXN,Alexandria Municipal Airport,,United States,45.867222,-95.394165,
LGAL,AXD,Alexandroupolis International Airport,,Greece,40.855862,25.956261,
LEAG,QYH,Algeciras Heliport,,Spain,36.128887,-5.441111,
LIEA,AHO,Alghero Fertilia Airport,,Italy,40.63213,8.290772,
DAAG,ALG,Algiers Houari Boumediene Airport,,Algeria,36.69101,3.215408,
LEAL,ALC,Alicante Airport,,Spain,38.282162,-0.55815,
KALI,ALI,Alice International Airport,,United States,27.740879,-98.026901,
YBAS,ASP,Alice Springs Airport,,Australia,-23.806208,133.903107,
VIAH,HRH,Aligarh Airport,,India,27.861685,78.144745,
PFAL,AET,Allakaket Airport,,United States,66.551804,-152.621994,
EDFQ,QEQ,Allendorf Airport,,Germany,51.035713,8.679523,
KABE,ABE,Allentown Lehigh Valley International Airport,,United States,40.652302,-75.440399,
KAIA,AIA,Alliance Municipal Airport,,United States,42.053219,-102.803001,
CYTF,YTF,Alma Airport,,Canada,48.509655,-71.642715,
KAMN,AMN,Alma Gratiot Community Airport,,United States,43.32299,-84.689911,
UAAA,ALA,Almaty International Airport,,Kazakhstan,43.354755,77.044792,
SNYA,GGF,Almeirim Airport,,Brazil,-1.479167,-52.578056,
LEAM,LEI,Almeria Airport,,Spain,36.843929,-2.37009,
WATM,ARD,Alor Island Airport,,Indonesia,-8.13234,124.597,
WMKA,AOR,Alor Setar Sultan Abdul Halim Airport,,Malaysia,6.189667,100.398102,
KAPN,APN,Alpena County Regional Airport,,United States,45.081669,-83.555832,
YAPH,ABH,Alpha Airport,,Australia,-23.650385,146.583054,
ENAT,ALF,Alta Airport,,Norway,69.976112,23.37166,
SBAT,AFL,Alta Floresta Airport,,Brazil,-9.86609,-56.106201,
ZMAT,LTI,Altai Airport,,Mongolia,46.376373,96.221054,
SBHT,ATM,Altamira Airport,,Brazil,-3.2539,-52.253899,
ZWAT,AAT,Altay Airport,,China,47.750362,88.084442,
EDAC,AOC,Altenburg Nobitz Airport,,Germany,50.981812,12.50636,
ETHA,QCA,Altenstadt Air Base,,Germany,47.835518,10.870574,
KALN,ALN,Alton St. Louis Regional Airport,,United States,38.890301,-90.045998,
KAOO,AOO,Altoona Blair County Airport,,United States,40.296371,-78.32,
KAXS,AXS,Altus Quartz Mountain Regional Airport,,United States,34.698288,-99.338455,
LPAR,AVR,Alverca Airport,,Portugal,38.884068,-9.029201,
ZBAL,AXF,Alxa Left Banner Airport,,China,38.747047,105.585693,
HLZN,ZIS,Alzintan Airport,,Libya,31.775,12.25,
RJDA,AXJ,Amakusa Airport,,Japan,32.483261,130.15564,
RJKA,ASJ,Amami Airport,,Japan,28.43063,129.712494,
KAMA,AMA,Amarillo Rick Husband  International Airport,,United States,35.21936,-101.705002,
KTDW,TDW,Amarillo Tradewind Airport,,United States,35.169899,-101.825996,
YAMT,AMT,Amata Airport,,Australia,-26.097277,131.202667,
VEAP,AHA,Ambikapur Maa Mahamaya Airport,,India,22.991812,83.194374,
PAFM,ABL,Ambler Airport,,United States,67.087502,-157.84584,
WAPP,AMQ,Ambon Pattimura Airport,,Indonesia,-3.71026,128.089096,
HKAM,ASV,Amboseli Airport,,Kenya,-2.633,37.25,
KAMW,AMW,Ames Municipal Airport,,United States,41.992001,-93.621803,
OJAM,ADJ,Amman Civil Airport,,Jordan,31.9727,35.991562,
OJAI,AMM,Amman Queen Alia International Airport,,Jordan,31.722549,35.99321,
CYEY,YEY,Amos Magny Airport,,Canada,48.564838,-78.249146,
WAFU,OJU,Ampana Tanjung Api Airport,,Indonesia,-0.864846,121.627632,
VIAR,ATQ,Amritsar International Airport,,India,31.709591,74.797256,
EHAM,AMS,Amsterdam Schiphol Airport,,Netherlands,52.308609,4.763889,
NTGA,AAA,Anaa Airport,,French Polynesia,-17.353258,-145.509583,
UHMA,DYR,Anadyr Ugolny Airport,,Russia,64.730003,177.740005,
PAKP,AKP,Anaktuvuk Pass Airport,,United States,68.129997,-151.740005,
URKA,AAQ,Anapa Airport,,Russia,45.00209,37.347271,
SBAN,APS,Anapolis Airport,,Brazil,-16.22714,-48.963783,
PAED,EDF,Anchorage Elmendorf Air Force Base,,United States,61.251339,-149.806,
PAMR,MRI,Anchorage Merrill Field Airport,,United States,61.213539,-149.843994,
PANC,ANC,Anchorage Ted Stevens International Airport,,United States,61.174358,-149.996002,
LIPY,AOI,Ancona Airport,,Italy,43.616341,13.36231,
ENAN,ANX,Andenes Andoya Airport,,Norway,69.292503,16.144159,
PGUA,UAM,Andersen Air Force Base,,Guam,13.583723,144.929474,
KAID,AID,Anderson Municipal Airport,,United States,40.108665,-85.613815,
KAND,AND,Anderson Regional Airport,,United States,34.494579,-82.709297,
UTFA,AZN,Andizhan Airport,,Uzbekistan,40.72773,72.294006,
LESU,LEU,Andorra La Seu de Urgel Airport,,Spain,42.34058,1.410326,
MYAF,ASD,Andros Town International Airport,,Bahamas,24.69828,-77.795601,
TUPA,NGD,Anegada Auguste George Airport,,Virgin Islands British,18.727394,-64.330055,
KAXX,AXX,Angel Fire Airport,,United States,36.421898,-105.289955,
RPLC,CRK,Angeles City Clark International Airport,,Philippines,15.18598,120.560303,
ESTA,AGH,Angelholm Helsingborg Airport,,Sweden,56.29607,12.84713,
LFJR,ANE,Angers Loire Airport,,France,47.56028,-0.312222,
EGOV,VLY,Anglesey Airport,,United Kingdom,53.250095,-4.539055,
KANQ,ANQ,Angola Tri-State Steuben County Airport,,United States,41.639702,-85.083504,
PAGN,AGN,Angoon Seaplane Base,,United States,57.497993,-134.572617,
LFBU,ANG,Angouleme Cognac International Airport,,France,45.729469,0.219153,
SDAG,GDR,Angra dos Reis Airport,,Brazil,-22.975279,-44.30722,
PANI,ANI,Aniak Airport,,United States,61.581669,-159.54306,
FMCV,AJN,Anjouan Ouani Airport,,Comoros,-12.1316,44.430271,
ZLAK,AKA,Ankang Fuqiang Airport,,China,32.708099,108.931046,
LTAC,ESB,Ankara Esenboga International Airport,,Turkey,40.128078,32.995079,
KIKV,QQK,Ankeny Regional Airport,,United States,41.691113,-93.566391,
VYAN,VBA,Ann Airport,,Myanmar (Burma),19.770643,94.026405,
KARB,ARB,Ann Arbor Municipal Airport,,United States,42.223057,-83.74556,
DABB,AAE,Annaba Rabah Bitat Airport,,Algeria,36.82222,7.809167,
KANP,ANP,Annapolis Lee Airport,,United States,38.942902,-76.568398,
LFLP,NCY,Annecy Mont Blanc Airport,,France,45.930771,6.106289,
LFLI,QYA,Annemasse Airport,,France,46.19194,6.269444,
KANB,ANB,Anniston Regional,,United States,33.588161,-85.858101,
FGAN,NBN,Annobon Airport,,Equatorial Guinea,-1.408897,5.62394,
ZSAQ,AQG,Anqing Tianzhushan Airport,,China,30.582333,117.050362,
ZYAS,AOG,Anshan Teng'ao Airport,,China,41.103523,122.855835,
ZUAS,AVA,Anshun Huangguoshu Airport,,China,26.260555,105.873337,
LTDA,HTY,Antakya Hatay Airport,,Turkey,36.362778,36.282223,
LTAI,AYT,Antalya Airport,,Turkey,36.898731,30.800461,
FMMI,TNR,Antananarivo Ivato International Airport,,Madagascar,-18.7969,47.478802,
TAPA,ANU,Antigua V. C. Bird International Airport,,Antigua And Barbuda,17.13674,-61.792599,
SCFA,ANF,Antofagasta International Airport,,Chile,-23.444401,-70.445099,
FMNA,DIE,Antsiranana Arrachart Airport,,Madagascar,-12.3494,49.29174,
EBAW,ANR,Antwerp International Airport,,Belgium,51.19014,4.462338,
PANV,ANV,Anvik Airport,,United States,62.647778,-160.188889,
ZHQQ,HQQ,Anyang Hongqiqu Airport,,China,35.869514,114.465767,
RJSA,AOJ,Aomori Airport,,Japan,40.734718,140.690796,
LIMW,AOT,Aosta Airport,,Italy,45.738499,7.36872,
KAAF,AAF,Apalachicola Regional Airport,,United States,29.733334,-84.98333,
SKLC,APO,Apartado Airport,,Colombia,7.817678,-76.717659,
NTGD,APK,Apataki Airport,,French Polynesia,-15.575026,-146.413361,
ULMK,KVK,Apatity Airport,,Russia,67.463303,33.588299,
NSFA,APW,Apia Faleolo International Airport,,Samoa,-13.8296,-171.996994,
KAPV,APV,Apple Valley Airport,,United States,34.575298,-117.185997,
KATW,ATW,Appleton International Airport,,United States,44.258091,-88.518997,
SSAP,APU,Apucarana Airport,,Brazil,-23.609501,-51.384499,
SWYN,IUP,Apui Airport,,Brazil,-7.1727,-59.839409,
OJAQ,AQJ,Aqaba King Hussein International Airport,,Jordan,29.61161,35.018059,
SBAR,AJU,Aracaju Santa Maria Airport,,Brazil,-10.984,-37.070301,
SBAC,ARX,Aracati Airport,,Brazil,-4.56861,-37.804722,
SBAU,ARU,Aracatuba Airport,,Brazil,-21.1413,-50.424702,
LRAR,ARW,Arad International Airport,,Romania,46.176552,21.26202,
SWGN,AUX,Araguaina Airport,,Brazil,-7.227867,-48.240467,
OIHR,AJK,Arak Airport,,Iran,34.1381,49.847301,
ZWAL,ACF,Aral Talim Airport,,China,40.435261,81.263084,
SSOG,APX,Arapongas Airport,,Brazil,-23.3529,-51.491699,
OERR,RAE,Arar Domestic Airport,,Saudi Arabia,30.90658,41.13821,
SBAQ,AQA,Araraquara Airport,,Brazil,-21.812,-48.132999,
YARA,ARY,Ararat Airport,,Australia,-37.310833,142.989899,
SNAB,JAW,Araripina Airport,,Brazil,-7.5864,-40.5354,
NTKK,RKA,Aratika Airport,,French Polynesia,-15.485568,-145.465286,
SKUC,AUC,Arauca Santiago Perez Quiroz Airport,,Colombia,7.068889,-70.7369,
SBAX,AAX,Araxa Airport,,Brazil,-19.562658,-46.961014,
HAAM,AMH,Arba Minch Airport,,Ethiopia,6.039389,37.59045,
LFCH,XAC,Arcachon La Teste-de-Buch Airport,,France,44.59861,-1.11472,
KACV,ACV,Arcata Eureka Airport,,United States,40.978111,-124.108002,
CYAB,YAB,Arctic Bay Airport,,Canada,73.006386,-85.047218,
PARC,ARC,Arctic Village,,United States,68.110001,-145.570007,
OITL,ADU,Ardabil Airport,,Iran,38.323826,48.421249,
NZAR,AMZ,Ardmore Airport,,New Zealand,-37.029701,174.973007,
KADM,ADM,Ardmore Municipal Airport,,United States,34.303009,-97.0196,
TJAB,ARE,Arecibo Antonio Juarbe Pol Airport,,Puerto Rico,18.450836,-66.675621,
ENGK,QCG,Arendal Gullknapp Airport,,Norway,58.518326,8.707467,
SPQU,AQP,Arequipa Rodriguez Ballon International Airport,,Peru,-16.341,-71.583,
YARG,GYL,Argyle Airport,,Australia,-16.629999,128.449997,
SCAR,ARI,Arica Chacalluta International Airport,,Chile,-18.348499,-70.338699,
SSOU,AIR,Aripuana Airport,,Brazil,-10.186673,-59.457531,
SJOG,AQM,Ariquemes Airport,,Brazil,-9.880993,-63.047237,
ULAA,ARH,Arkhangelsk Talagi Airport,,Russia,64.600281,40.71666,
ULAH,VKV,Arkhangelsk Vaskovo Airport,,Russia,64.441689,40.422092,
KAWO,QQW,Arlington Municipal Airport,,United States,48.160831,-122.15889,
KGKY,QQG,Arlington Municipal Airport,,United States,32.66,-97.089996,
SKAR,AXM,Armenia El Eden International Airport,,Colombia,4.453333,-75.7658,
YARM,ARM,Armidale Airport,,Australia,-30.528334,151.616669,
EDLA,QRL,Arnsberg Menden Airport,,Germany,51.483986,7.898569,
NGTR,AIS,Arorae Airport,,Kiribati,-2.616217,176.802185,
KATS,ATS,Artesia Municipal Airport,,United States,32.852501,-104.468002,
MYCA,ATC,Arthur's Town Airport,,Bahamas,24.628611,-75.671387,
HUAR,RUA,Arua Airport,,Uganda,3.049893,30.911785,
HTAR,ARK,Arusha Airport,,Tanzania,-3.36779,36.633331,
NTGU,AXR,Arutua Airport,,French Polynesia,-15.2463,-146.619995,
CYEK,YEK,Arviat Airport,,Canada,61.094158,-94.070801,
ESNX,AJR,Arvidsjaur Airport,,Sweden,65.590271,19.28194,
ZBES,YIE,Arxan Yiershi Airport,,China,47.310555,119.911942,
DNAS,ABB,Asaba International Airport,,Nigeria,6.203055,6.667222,
RJEC,AKJ,Asahikawa Airport,,Japan,43.67083,142.447495,
FHAW,ASI,Ascension Island Airport,,Saint Helena,-7.9696,-14.3937,
EDFC,QRF,Aschaffenburg Airport,,Germany,49.938927,9.063013,
NZAS,ASG,Ashburton Airport,,New Zealand,-43.902866,171.798935,
KAVL,AVL,Asheville Regional Airport,,United States,35.436192,-82.541801,
UTAA,ASB,Ashgabat International Airport,,Turkmenistan,37.986809,58.360958,
KOFP,QSP,Ashland Hanover County Municipal Airport,,United States,37.708027,-77.436058,
KHZY,JFN,Ashtabula Northeast Ohio Regional Airport,,United States,41.77774,-80.697029,
HHAS,ASM,Asmara International Airport,,Eritrea,15.29185,38.91066,
HASO,ASO,Asosa Airport,,Ethiopia,10.01855,34.58625,
KASE,ASE,Aspen Pitkin County Airport,,United States,39.22208,-106.86834,
OIBP,PGU,Assaluyeh Persian Gulf Airport,,Iran,27.383959,52.735516,
HEAT,ATZ,Assiut Airport,,Egypt,27.046499,31.01198,
UACC,NQZ,Astana Nursultan Nazarbayev International Airport,,Kazakhstan,51.022221,71.466942,
KAST,AST,Astoria Regional Airport,,United States,46.159721,-123.879997,
URWA,ASF,Astrakhan Narimanovo Airport,,Russia,46.283329,48.006271,
LEAS,OVD,Asturias Airport,,Spain,43.56356,-6.03462,
LGPL,JTY,Astypalaia Island National Airport,,Greece,36.579887,26.375822,
SGAS,ASU,Asuncion Silvio Pettirossi International Airport,,Paraguay,-25.239799,-57.5191,
HESN,ASW,Aswan International Airport,,Egypt,23.96435,32.819969,
SPAY,AYX,Atalaya Gerardo Perez Pinedo Airport,,Peru,-10.728098,-73.765457,
WATA,ABU,Atambua Haliwen Airport,,Indonesia,-9.074864,124.903091,
WPAT,AUT,Atauro Airport,,Timor-Leste (East Timor),-8.243113,125.606392,
KAHN,AHN,Athens Ben Epps Airport,,United States,33.95195,-83.324722,
LGAV,ATH,Athens Eleftherios Venizelos,,Greece,37.936352,23.94446,
KUNI,ATO,Athens Gordon K. Bush Airport,,United States,39.210999,-82.2314,
KMMI,MMI,Athens McMinn County Airport,,United States,35.397221,-84.5625,
KRYY,QQR,Atlanta Cobb County Airport,,United States,34.013058,-84.59861,
KPDK,PDK,Atlanta DeKalb Peachtree Airport,,United States,33.869999,-84.300003,
KFTY,FTY,Atlanta Fulton County Airport,,United States,33.777195,-84.521141,
KATL,ATL,Atlanta Hartsfield-Jackson International Airport,,United States,33.636719,-84.428001,
KFFC,QTF,Atlanta Regional Airport,,United States,33.357475,-84.572121,
KHMP,QDM,Atlanta Speedway Airport,,United States,33.390255,-84.330452,
KACY,ACY,Atlantic City International Airport,,United States,39.457581,-74.577103,
KAIO,AIO,Atlantic Municipal Airport,,United States,41.405624,-95.048485,
PATQ,ATK,Atqasuk Airport,,United States,70.467056,-157.435471,
CYAT,YAT,Attawapiskat Airport,,Canada,52.919998,-82.43,
NTMN,AUQ,Atuona Airport,,French Polynesia,-9.76879,-139.011002,
KMER,MER,Atwater Castle Airport,,United States,37.380482,-120.568001,
UATG,GUW,Atyrau Airport,,Kazakhstan,47.121941,51.821381,
LFHO,OBS,Aubenas Airport,,France,44.54158,4.371905,
KLEW,LEW,Auburn Airport,,United States,44.048611,-70.283607,
KAUN,AUN,Auburn Municipal Airport,,United States,38.9548,-121.082001,
KAUO,AUO,Auburn University Regional Airport,,United States,32.615101,-85.433998,
LFDH,QRH,Auch Gers Airport,,France,43.685604,0.599999,
NZAA,AKL,Auckland Airport,,New Zealand,-37.010914,174.790176,
EDMA,AGB,Augsburg Airport,,Germany,48.425152,10.93176,
KDNL,DNL,Augusta Daniel Field Airport,,United States,33.468098,-82.0392,
KAGS,AGS,Augusta Regional Airport,,United States,33.369942,-81.9645,
KAUG,AUG,Augusta State Airport,,United States,44.320648,-69.797302,
AGGA,AKS,Auki Airport,,Solomon Islands,-8.702528,160.681778,
CYLA,YPJ,Aupaluk Airport,,Canada,59.296665,-69.599724,
VAAU,IXU,Aurangabad Airport,,India,19.86272,75.398109,
LFLW,AUR,Aurillac Tronquieres Airport,,France,44.897579,2.416719,
KUAO,QSA,Aurora State Airport,,United States,45.247269,-122.77002,
YAUR,AUU,Aurukun Airport,,Australia,-13.353889,141.72084,
KAUS,AUS,Austin Bergstrom International Airport,,United States,30.194521,-97.6698,
KEDC,EDC,Austin Executive Airport,,United States,30.389999,-97.559998,
KAUM,AUM,Austin Municipal Airport,,United States,43.663853,-92.933189,
YAUV,AVG,Auvergne Airport,,Australia,-15.690627,130.00882,
LFLA,AUF,Auxerre Branches Airport,,France,47.846321,3.496578,
KAVX,AVX,Avalon Catalina Airport,,United States,33.404999,-118.415833,
NCRG,RAR,Avarua Rarotonga International Airport,,Cook Islands,-21.2027,-159.804993,
LIPA,AVB,Aviano Air Base,,Italy,46.031879,12.59647,
LFMV,AVN,Avignon Caumont Airport,,France,43.906582,4.902028,
KAVP,AVP,Avoca Wilkes-Barre/Scranton International Airport,,United States,41.33847,-75.723297,
KAVO,AVO,Avon Park Executive Airport,,United States,27.590343,-81.528511,
OBKH,KHB,Awali Sakhir Air Base,,Bahrain,26.034721,50.524445,
HALA,AWA,Awasa Airport,,Ethiopia,7.095,38.398335,
HAAX,AXU,Axum Airport,,Ethiopia,14.14675,38.772831,
SPHO,AYP,Ayacucho Airport,,Peru,-13.1548,-74.204399,
LTBD,CII,Aydin Cildir Airport,,Turkey,37.815407,27.887142,
YAYE,AYQ,Ayers Rock Airport,,Australia,-25.185343,130.976395,
VEAY,AYJ,Ayodhya Airport,,India,26.751339,82.15538,
YAYR,AYR,Ayr Airport,,Australia,-19.591232,147.326462,
VEAH,AZH,Azamgarh Airport,,India,26.155241,83.117126,
WASO,BXB,Babo Airport,,Indonesia,-2.53224,133.438797,
LRBC,BCM,Bacau International Airport,,Romania,46.521938,26.910271,
RPVB,BCD,Bacolod City Silay International Airport,,Philippines,10.776905,123.018394,
LEBZ,BJZ,Badajoz Airport,,Spain,38.891251,-6.82133,
OPTH,BDN,Badin Talhar Airport,,Pakistan,24.841511,68.838402,
YBAU,BDD,Badu Island Airport,,Australia,-10.15,142.173401,
FKKU,BFX,Bafoussam Airport,,Cameroon,5.536919,10.35458,
SBBG,BGX,Bage Comandante Gustavo Kraemer Airport,,Brazil,-31.390499,-54.112202,
ORBI,BGW,Baghdad International Airport,,Iraq,33.262501,44.234444,
VNBL,BGL,Baglung Airport,,Nepal,28.212799,83.666298,
RPUB,BAG,Baguio Loakan Airport,,Philippines,16.375099,120.619598,
OPBW,BHV,Bahawalpur Airport,,Pakistan,29.348057,71.717781,
SAZB,BHI,Bahia Blanca Comandante Espora Airport,,Argentina,-38.724899,-62.1693,
SKBS,BSC,Bahia Solano Jose Celestino Mutis Airport,,Colombia,6.202936,-77.394798,
HABD,BJR,Bahir Dar Airport,,Ethiopia,11.60807,37.32164,
OBBI,BAH,Bahrain International Airport,,Bahrain,26.27083,50.63361,
LRBM,BAY,Baia Mare Airport,,Romania,47.658379,23.47002,
